 35,  76,  51,  77,  -7,   4, -14,  18, 
 37,  77,  50,  77,  -8,   1, -12,  21, 
 40,  78,  50,  76,  -9,  -2, -12,  24, 
 43,  78,  50,  76, -10,  -7, -12,  27, 
 45,  76,  51,  75, -11, -11, -12,  29, 
 48,  73,  52,  74, -11, -15, -12,  32, 
 51,  67,  53,  74, -12, -18, -12,  35, 
 53,  60,  54,  73, -12, -19, -12,  37, 
 56,  52,  55,  72, -12, -19, -12,  40, 
 58,  43,  57,  72, -12, -16, -12,  42, 
 60,  35,  58,  71, -11, -12, -12,  44, 
 62,  27,  60,  71, -11,  -8, -11,  45, 
 64,  22,  61,  70, -10,  -3, -11,  46, 
 66,  18,  63,  70, -10,   1, -11,  47, 
 68,  16,  64,  70,  -9,   3, -10,  47, 
 69,  16,  66,  79,  -8,   4,  -9,  35, 
 70,  16,  68,  87,  -7,   4,  -9,  22, 
 71,  17,  69,  95,  -5,   3,  -8,  10, 
 72,  17,  71, 101,  -4,   3,  -6,  -2, 
 73,  18,  72, 106,  -3,   2,  -5, -13, 
 74,  19,  73, 108,  -2,   1,  -3, -23, 
 74,  21,  74, 108,  -1,   0,  -2, -31, 
 75,  22,  75, 103,   0,  -1,   0, -37, 
 75,  24,  76,  95,   1,  -2,   3, -40, 
 76,  26,  76,  84,   2,  -3,   5, -39, 
 76,  28,  77,  73,   3,  -4,   7, -35, 
 76,  30,  77,  64,   3,  -5,  10, -29, 
 76,  32,  77,  56,   3,  -6,  12, -22, 
 76,  35,  77,  51,   4,  -7,  15, -14, 
 76,  37,  77,  50,   4,  -8,  18, -12, 
 77,  40,  77,  50,   1,  -9,  21, -12, 
 78,  43,  76,  50,  -2, -10,  24, -12, 
 78,  45,  76,  51,  -7, -11,  27, -12, 
 76,  48,  75,  52, -11, -11,  29, -12, 
 73,  51,  74,  53, -15, -12,  32, -12, 
 67,  53,  74,  54, -18, -12,  35, -12, 
 60,  56,  73,  55, -19, -12,  37, -12, 
 52,  58,  72,  57, -19, -12,  40, -12, 
 43,  60,  72,  58, -16, -11,  42, -12, 
 35,  62,  71,  60, -12, -11,  44, -11, 
 27,  64,  71,  61,  -8, -10,  45, -11, 
 22,  66,  70,  63,  -3, -10,  46, -11, 
 18,  68,  70,  64,   1,  -9,  47, -10, 
 16,  69,  70,  66,   3,  -8,  47,  -9, 
 16,  70,  79,  68,   4,  -7,  35,  -9, 
 16,  71,  87,  69,   4,  -5,  22,  -8, 
 17,  72,  95,  71,   3,  -4,  10,  -6, 
